id,composition_id,o.sxx,o.syy,o.szz,o.sxy,o.syz,o.szx
1464886,Al3 Er2 Fe14,17.96551,17.96709,14.3475,0.0,0.0,0.0
1465082,Al5 Cu6 Mg2,14.37503,14.37503,14.37503,0.0,0.0,0.0
1468483,Al2 Dy2 Fe15,23.13191,23.17972,27.31363,0.0,0.0,0.0
1502328,Al4 C6 Hf3,9.1862,9.19307,9.21773,-0.00967,0.00746,0.00035
1534022,Al2 B2 K2 O7,34.1979,34.17832,32.42504,-0.03638,0.00216,0.00291
1545431,Al1 H2 Li1 O5 Si1,47.54519,37.96949,36.82597,0.0,0.0,0.0
1552199,Al1 Ge1 Li3 O5,42.86228,43.32667,41.79124,0.0,0.0,0.0
1560798,Al2 O3,61.82217,61.39041,61.36342,0.0,0.0,0.0
1562310,Al1 F3,99.95791,99.95791,109.12288,0.0,0.0,0.0
1566110,Al1 Li1 O6 Si2,58.21707,51.90238,78.70952,0.0,0.0,1.42789
1566113,Al1 H6 K3,14.61251,12.70445,14.27451,0.0,0.0,0.0
1566160,Al2 S3,5.06936,5.06936,5.41874,0.0,0.0,0.0
1573721,Al3 Ba10 Ge7,2.53504,2.52212,2.29977,-0.01119,0.0,0.0
1593035,Al5 Na1 O12 Ti2,53.70185,46.78004,53.19138,0.0,0.0,0.0
1594919,Al9 Fe2 H1 O24 Si4,53.06033,67.86148,72.78321,0.0,0.0,-7.87882
1597086,Al2 Ba2 Ca1 F14 Mg1,72.90292,74.45557,73.18256,1e-05,0.0,0.16122
1597094,Al1 F4 H4 N1,91.46175,91.46175,90.62025,0.0,0.0,0.0
1597095,Al1 F6 K2 Na1,63.14326,63.14326,63.14326,-0.00017,-0.00017,-0.00017
1597136,Al1 Cl6 N1 S2,2.58883,3.01664,3.87794,0.0,0.0,0.48532
1597205,Al1 I8 P1,0.3788,0.72091,0.80046,0.0,0.0,0.0
1597268,Al7 Cu2 Fe1,10.29674,10.29674,9.75061,0.0,0.0,0.0
1597270,Al7 Co1 Cu2,13.24115,13.24115,11.86153,0.0,0.0,0.0
